,0,1,2,3
cluster,0.0,1.0,2.0,3.0
total_orders,75037.0,517.0,2.0,35466.0
total_revenue,8959904.16000018,383726.57999999967,283.29,4060745.9099999736
price_per_order,116.5139031557468,624.2856578947369,141.64499999999995,106.17823480555022
average_frequency,0.017952032170041647,2.49009900990099,234.0,2.1625578368999423
review_score,4.024061038835688,4.191731944925075,2.5,4.025756717711952
