product_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
cool_stuff,unknown,fixed_telephony,audio,industry_commerce_and_business,consoles_games,auto,tablets_printing_image,bed_bath_table,baby,watches_gifts,furniture_decor,sports_leisure,toys,computers_accessories,telephony,health_beauty,housewares,pet_shop,small_appliances,furniture_mattress_and_upholstery
costruction_tools_garden,unknown,toys,bed_bath_table,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,health_beauty,kitchen_dining_laundry_garden_furniture,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,la_cuisine,agro_industry_and_commerce,food_drink
costruction_tools_tools,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
diapers_and_hygiene,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
drinks,housewares,auto,sports_leisure,health_beauty,industry_commerce_and_business,home_construction,home_confort,home_comfort_2,home_appliances_2,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,la_cuisine,market_place,food_drink
dvds_blu_ray,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
electronics,fashion_bags_accessories,toys,food,pet_shop,housewares,health_beauty,furniture_decor,watches_gifts,bed_bath_table,garden_tools,perfumery,computers_accessories,auto,telephony,sports_leisure,home_construction,home_confort,home_appliances,home_appliances_2,furniture_mattress_and_upholstery
fashio_female_clothing,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
fashion_bags_accessories,electronics,musical_instruments,luggage_accessories,perfumery,watches_gifts,computers_accessories,unknown,health_beauty,garden_tools,toys,furniture_decor,bed_bath_table,sports_leisure,baby,pet_shop,telephony,housewares,home_appliances_2,home_construction,home_confort
fashion_childrens_clothes,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
fashion_male_clothing,sports_leisure,agro_industry_and_commerce,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,kitchen_dining_laundry_garden_furniture,la_cuisine,luggage_accessories,market_place,toys
fashion_shoes,perfumery,baby,bed_bath_table,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,la_cuisine,luggage_accessories,music
fashion_sport,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
