,product_name,total_orders,total_revenue,price_per_order,average_frequency,review_score
0,agro_industry_and_commerce,212,72530.46999999996,342.1248584905658,2.3649289099526065,4.0
1,food,510,29393.410000000313,57.634137254902576,1.0216110019646365,4.145098039215687
2,food_drink,278,15179.47999999998,54.60244604316539,1.5884476534296028,4.301075268817204
3,art,209,24202.64000000006,115.80210526315818,2.1634615384615383,3.9186602870813396
4,arts_and_craftmanship,24,1814.0100000000002,75.58375000000001,20.08695652173913,4.125
5,party_supplies,43,4485.18,104.30651162790699,9.0,3.7674418604651163
6,christmas_supplies,153,8800.819999999994,57.52169934640519,2.776315789473684,3.9084967320261437
7,audio,364,50688.50000000022,139.25412087912147,1.5068870523415978,3.808219178082192
8,auto,4235,592720.1100000077,139.95752302243392,0.03235710911667454,4.037491157745815
9,baby,3064,409830.89000000467,133.756817885119,0.05778648383937316,3.9938050211933485
10,drinks,379,22428.70000000008,59.17862796833794,1.1243386243386244,3.9894459102902373
11,health_beauty,9670,1258681.3399999554,130.1635305067172,0.012410797393732548,4.122341523848854
12,toys,4117,483946.6000000076,117.54836045664503,0.030855199222546162,4.13883495145631
13,bed_bath_table,11115,1036988.6800000764,93.296327485387,0.009357567032571531,3.870641873770785
14,home_confort,434,58572.04000000019,134.95861751152117,0.9168591224018475,3.823394495412844
15,home_comfort_2,30,760.2699999999994,25.342333333333315,18.586206896551722,3.3666666666666667
16,home_construction,604,83088.11999999975,137.56311258278103,0.6318407960199005,3.9271523178807946
17,cds_dvds_musicals,14,730.0,52.142857142857146,21.846153846153847,4.642857142857143
18,cine_photo,72,6933.459999999996,96.29805555555551,7.309859154929577,4.194444444444445
19,air_conditioning,297,55024.96000000012,185.269225589226,1.9391891891891893,3.919191919191919
20,consoles_games,1137,157465.22000000035,138.49183817062476,0.31338028169014087,4.0
21,construction_tools_construction,929,144677.5899999994,155.73475780408978,0.38685344827586204,4.041890440386681
22,costruction_tools_tools,103,15903.949999999992,154.40728155339798,4.4411764705882355,4.359223300970874
23,construction_tools_lights,304,41079.99999999999,135.1315789473684,1.0264026402640265,3.973684210526316
24,costruction_tools_garden,238,25715.890000000036,108.04995798319342,2.0,4.046218487394958
25,construction_tools_safety,194,40544.52000000003,208.9923711340208,2.5025906735751295,3.829896907216495
26,cool_stuff,3796,635290.8500000018,167.35796891464747,0.03636363636363636,4.130755064456722
27,dvds_blu_ray,64,5999.389999999992,93.74046874999988,8.507936507936508,4.03125
28,home_appliances,771,80171.52999999974,103.98382619974025,0.4103896103896104,4.151088348271447
29,home_appliances_2,238,113317.73999999995,476.12495798319304,2.0126582278481013,4.129707112970712
30,electronics,2767,160246.73999999565,57.913530899890006,0.08532176428054954,4.023843930635838
31,small_appliances,679,190648.57999999926,280.77846833578684,0.4837758112094395,4.123529411764705
32,sports_leisure,8641,988048.9700000366,114.3442853836404,0.012152777777777778,4.091854419410745
33,fashion_bags_accessories,2031,152823.53999999736,75.24546528803415,0.10738916256157635,4.129475232957332
34,fashion_shoes,262,23562.770000000073,89.93423664122166,2.1954022988505746,4.196969696969697
35,fashion_sport,30,2119.510000000001,70.65033333333336,17.93103448275862,4.233333333333333
36,fashio_female_clothing,48,2803.6400000000012,58.40916666666669,14.170212765957446,3.7551020408163267
37,fashion_childrens_clothes,8,569.85,71.23125,54.0,4.5
38,fashion_male_clothing,132,10797.819999999982,81.80166666666652,4.809160305343512,3.621212121212121
39,fashion_underwear_beach,131,9541.549999999977,72.83625954198456,3.8384615384615386,3.954198473282443
40,garden_tools,4347,485256.4599999993,111.6301955371519,0.03267372296364473,4.028932261768083
41,flowers,33,1110.0399999999995,33.637575757575746,7.46875,4.212121212121212
42,diapers_and_hygiene,39,1567.5900000000001,40.19461538461539,17.763157894736842,3.2564102564102564
43,industry_commerce_and_business,268,39669.610000000015,148.02093283582096,2.2322097378277155,4.067164179104478
44,computers_accessories,7827,911954.3200000303,116.51390315574682,0.014822386915410171,3.9175677394733492
45,musical_instruments,680,191498.87999999875,281.61599999999817,0.4653902798232695,4.135294117647059
46,la_cuisine,14,2054.99,146.785,28.307692307692307,3.7857142857142856
47,books_imported,60,4639.849999999998,77.33083333333329,8.542372881355933,4.4
48,books_general_interest,553,46856.880000000245,84.73215189873461,0.8713768115942029,4.439421338155515
49,books_technical,267,19096.05999999999,71.52082397003741,2.161654135338346,4.333333333333333
50,luggage_accessories,1092,140429.97999999835,128.59888278388127,0.20898258478460127,4.309523809523809
51,market_place,311,28378.470000000063,91.2490996784568,1.8,4.0
52,furniture_mattress_and_upholstery,38,4368.08,114.94947368421053,11.135135135135135,3.8157894736842106
53,kitchen_dining_laundry_garden_furniture,281,46328.370000000075,164.86964412811415,1.6928571428571428,3.950354609929078
54,furniture_decor,8334,729762.4900000463,87.56449364051431,0.01500060002400096,3.885905239288698
55,office_furniture,1691,273960.69999999844,162.01105854523857,0.19112426035502958,3.4826368452030607
56,furniture_bedroom,109,20028.78,183.75027522935778,5.157407407407407,4.118181818181818
57,furniture_living_room,503,68916.56000000011,137.01105367793264,0.798804780876494,3.8827037773359843
58,music,38,6034.3499999999985,158.7986842105263,15.513513513513514,4.2105263157894735
59,stationery,2517,230943.2299999952,91.75336909018483,0.05842607313195548,4.182612147677649
60,computers,203,222963.1299999997,1098.3405418719199,2.49009900990099,4.142857142857143
61,perfumery,3419,399124.8699999995,116.73731207955527,0.042715038033937974,4.159416058394161
62,pet_shop,1947,214315.40999999657,110.07468412942814,0.12744090441932168,4.175654853620955
