,Unnamed: 0,product_name,total_orders,total_revenue,price_per_order,average_frequency,review_score,cluster
0,0,agro_industry_and_commerce,212,72530.46999999996,342.12485849056577,2.3649289099526065,4.0,3
1,1,food,510,29393.410000000316,57.63413725490258,1.0216110019646365,4.145098039215687,3
2,2,food_drink,278,15179.479999999981,54.602446043165386,1.5884476534296028,4.301075268817204,3
3,3,art,209,24202.640000000058,115.80210526315818,2.1634615384615383,3.91866028708134,3
4,4,arts_and_craftmanship,24,1814.01,75.58375000000002,20.08695652173913,4.125,3
5,5,party_supplies,43,4485.18,104.30651162790701,9.0,3.767441860465116,3
6,6,christmas_supplies,153,8800.819999999994,57.52169934640519,2.7763157894736836,3.908496732026144,3
7,7,audio,364,50688.50000000022,139.25412087912147,1.5068870523415978,3.808219178082192,3
8,8,auto,4235,592720.1100000078,139.95752302243392,0.03235710911667454,4.037491157745815,0
9,9,baby,3064,409830.89000000467,133.756817885119,0.05778648383937316,3.993805021193349,3
10,10,drinks,379,22428.700000000084,59.178627968337935,1.1243386243386244,3.989445910290237,3
11,11,health_beauty,9670,1258681.3399999554,130.1635305067172,0.012410797393732548,4.122341523848854,0
12,12,toys,4117,483946.6000000076,117.54836045664506,0.030855199222546162,4.13883495145631,0
13,13,bed_bath_table,11115,1036988.6800000764,93.296327485387,0.009357567032571531,3.8706418737707855,0
14,14,home_confort,434,58572.04000000018,134.95861751152114,0.9168591224018476,3.823394495412844,3
15,15,home_comfort_2,30,760.2699999999994,25.342333333333315,18.58620689655172,3.3666666666666667,3
16,16,home_construction,604,83088.11999999975,137.56311258278106,0.6318407960199005,3.9271523178807946,3
17,17,cds_dvds_musicals,14,730.0,52.14285714285714,21.846153846153847,4.642857142857143,3
18,18,cine_photo,72,6933.459999999996,96.29805555555552,7.309859154929577,4.194444444444445,3
19,19,air_conditioning,297,55024.960000000116,185.269225589226,1.9391891891891893,3.919191919191919,3
20,20,consoles_games,1137,157465.22000000035,138.49183817062476,0.3133802816901409,4.0,3
21,21,construction_tools_construction,929,144677.58999999939,155.73475780408978,0.3868534482758621,4.041890440386681,3
22,22,costruction_tools_tools,103,15903.949999999993,154.40728155339795,4.441176470588236,4.359223300970874,3
23,23,construction_tools_lights,304,41079.999999999985,135.1315789473684,1.0264026402640265,3.9736842105263164,3
24,24,costruction_tools_garden,238,25715.89000000004,108.04995798319342,2.0,4.046218487394958,3
25,25,construction_tools_safety,194,40544.520000000026,208.9923711340208,2.502590673575129,3.8298969072164954,3
26,26,cool_stuff,3796,635290.8500000018,167.35796891464747,0.03636363636363636,4.1307550644567215,0
27,27,dvds_blu_ray,64,5999.389999999991,93.74046874999986,8.507936507936508,4.03125,3
28,28,home_appliances,771,80171.52999999974,103.98382619974024,0.4103896103896104,4.151088348271447,3
29,29,home_appliances_2,238,113317.73999999995,476.1249579831929,2.0126582278481013,4.129707112970713,1
30,30,electronics,2767,160246.73999999565,57.913530899890006,0.08532176428054954,4.023843930635838,3
31,31,small_appliances,679,190648.57999999926,280.77846833578684,0.4837758112094395,4.123529411764705,3
32,32,sports_leisure,8641,988048.9700000365,114.3442853836404,0.012152777777777778,4.091854419410745,0
33,33,fashion_bags_accessories,2031,152823.53999999733,75.24546528803415,0.10738916256157637,4.129475232957332,3
34,34,fashion_shoes,262,23562.770000000077,89.93423664122166,2.1954022988505746,4.196969696969697,3
35,35,fashion_sport,30,2119.510000000001,70.65033333333336,17.931034482758623,4.233333333333333,3
36,36,fashio_female_clothing,48,2803.6400000000012,58.40916666666669,14.170212765957446,3.755102040816327,3
37,37,fashion_childrens_clothes,8,569.85,71.23125,54.0,4.5,3
38,38,fashion_male_clothing,132,10797.819999999982,81.80166666666652,4.809160305343512,3.621212121212121,3
39,39,fashion_underwear_beach,131,9541.549999999976,72.83625954198456,3.8384615384615386,3.9541984732824433,3
